"ID","CSys ID","X","Y","Z","1..Simcenter NASTRAN Case 1, 2..T1 Translation","1..Simcenter NASTRAN Case 1, 3..T2 Translation","1..Simcenter NASTRAN Case 1, 4..T3 Translation"
231,0,0.0373636,0.112,0.,-0.00123736,-0.0000111604,0.0222996
232,0,0.0373636,0.116,0.,-0.00124367,-0.0000110787,0.0237024
233,0,0.0414545,0.112,0.,-0.0012393,-0.000014235,0.0290215
234,0,0.0414545,0.116,0.,-0.00124219,-0.0000141639,0.030779
235,0,0.0455455,0.112,0.,-0.00123986,-0.0000193946,0.0357349
236,0,0.0455455,0.116,0.,-0.00124211,-0.0000193092,0.0378471
237,0,0.0496364,0.112,0.,-0.00123903,-0.0000237776,0.0424503
238,0,0.0496364,0.116,0.,-0.00124344,-0.0000236864,0.0449171
239,0,0.0537273,0.112,0.,-0.00123683,-0.0000244934,0.0491781
240,0,0.0537273,0.116,0.,-0.00124615,-0.0000244834,0.0519996
241,0,0.0578182,0.112,0.,-0.00123302,-0.0000185006,0.0559282
242,0,0.0578182,0.116,0.,-0.00125005,-0.0000190922,0.0591047
243,0,0.0619091,0.112,0.,-0.00122679,-3.61385E-6,0.062705
244,0,0.0619091,0.116,0.,-0.00125488,-4.08133E-6,0.066241
245,0,0.0927547,0.12,0.0010324,-0.00316381,0.00100825,0.125652
246,0,0.090943,0.12,0.0015475,-0.00409478,0.00129475,0.122391
247,0,0.0884713,0.12,0.0020251,-0.0049592,0.00157259,0.117939
248,0,0.0863726,0.12,0.0024194,-0.00567523,0.00160107,0.114156
249,0,0.0836566,0.12,0.0029157,-0.00657656,0.0013986,0.109256
250,0,0.0817435,0.12,0.0032563,-0.00719503,0.00112148,0.105802
251,0,0.0768878,0.12,0.0040957,-0.00872493,-0.0000457171,0.0970267
252,0,0.0722288,0.12,0.0048461,-0.0100948,-0.00220091,0.0885935
253,0,0.066,0.12,0.0058402,-0.0119015,-0.00566532,0.0773109
254,0,0.0626032,0.12,0.0062427,-0.0126506,-0.00536367,0.0711552
255,0,0.0589591,0.12,0.0067309,-0.0135587,-0.00412729,0.0645351
256,0,0.0538281,0.12,0.0073374,-0.0146938,-0.00213903,0.0551861
257,0,0.0484017,0.12,0.0079219,-0.0157843,-0.00129347,0.0452704
258,0,0.0406055,0.12,0.0085275,-0.0169131,-0.00104094,0.0310051
259,0,0.0321594,0.12,0.008955,-0.017707,-0.000640349,0.0155458
260,0,0.0274985,0.12,0.0090312,-0.0178475,-0.000263708,0.00701723
261,0,0.0237366,0.12,0.0089197,-0.0176482,-0.0000940702,0.000134969
262,0,0.021,0.12,0.0087705,-0.0173786,-0.000169816,-0.0048742
263,0,0.0169356,0.12,0.0084825,-0.016846,-0.00033515,-0.01231
264,0,0.0147235,0.12,0.0082023,-0.0163298,-0.000162268,-0.0163541
265,0,0.010165,0.12,0.0074072,-0.0148721,0.000530496,-0.0246844
266,0,0.0060064,0.12,0.0063118,-0.0128682,0.00114115,-0.0322868
267,0,0.0035666,0.12,0.0053819,-0.0111667,0.00126653,-0.0367505
268,0,0.00088651,0.12,0.0042704,-0.00913147,0.00106162,-0.0416563
269,0,0.00085102,0.12,-0.004285,0.00653234,-0.00114448,-0.0417213
270,0,0.003876,0.12,-0.005501,0.00875625,-0.000684684,-0.0361852
271,0,0.0060232,0.12,-0.006335,0.0102813,-0.00025317,-0.0322579
272,0,0.0078113,0.12,-0.006886,0.011289,0.0000603416,-0.0289886
273,0,0.0112559,0.12,-0.007624,0.0126374,0.000355283,-0.0226925
274,0,0.0168253,0.12,-0.008414,0.0140855,0.000275163,-0.0125128
275,0,0.021,0.12,-0.008771,0.014742,0.00000339381,-0.00487545
276,0,0.0261895,0.12,-0.009011,0.015171,0.0000189994,0.00461692
277,0,0.0298833,0.12,-0.009013,0.0151709,0.000403248,0.0113706
278,0,0.0358947,0.12,-0.008827,0.0148287,0.00120756,0.0223692
279,0,0.0403149,0.12,-0.008582,0.0143733,0.00161817,0.030462
280,0,0.0463609,0.12,-0.008106,0.0134849,0.0019566,0.0415225
281,0,0.0507418,0.12,-0.007679,0.0126927,0.00227792,0.0495282
282,0,0.0567684,0.12,-0.006999,0.0114344,0.00321604,0.06053
283,0,0.0605457,0.12,-0.006524,0.0105519,0.00428195,0.0674128
284,0,0.066,0.12,-0.00584,0.00927856,0.00570502,0.0773166
285,0,0.0692809,0.12,-0.005287,0.00827428,0.00450893,0.0832615
286,0,0.0736826,0.12,-0.004619,0.00705736,0.00265773,0.0912318
287,0,0.078357,0.12,-0.003846,0.00565149,0.00124247,0.0996863
288,0,0.0828786,0.12,-0.003054,0.00421242,0.000442938,0.107854
289,0,0.0931197,0.3,-0.001045,0.000860035,0.000561133,0.327916
290,0,0.0931248,0.304,-0.001045,0.00101188,0.000466971,0.328782
291,0,0.0931299,0.308,-0.001045,0.00104165,0.000460425,0.330688
292,0,0.0931349,0.312,-0.001045,0.000921439,0.000477651,0.333188
293,0,0.09314,0.316,-0.001045,0.00076578,0.000492443,0.335749
294,0,0.0931451,0.32,-0.001045,0.000637915,0.000503908,0.338101
295,0,0.0931502,0.324,-0.001045,0.000557567,0.000515722,0.340164
296,0,0.0931552,0.328,-0.001045,0.000531614,0.00053081,0.341901
297,0,0.0931603,0.332,-0.001045,0.000551923,0.000550895,0.343346
298,0,0.0931654,0.336,-0.001045,0.000603865,0.000576768,0.344562
299,0,0.0931704,0.34,-0.001045,0.000667862,0.000608665,0.345639
300,0,0.0931755,0.344,-0.001044,0.000716277,0.000646216,0.346689
301,0,0.0931806,0.348,-0.001044,0.000733989,0.000689606,0.347819
302,0,0.0931857,0.352,-0.001044,0.000694519,0.000737813,0.349135
303,0,0.0931907,0.356,-0.001044,0.000610605,0.000788137,0.350552
304,0,0.0931958,0.36,-0.001044,0.000551227,0.000841424,0.351809
305,0,0.0932009,0.364,-0.001044,0.000524226,0.000827128,0.352826
306,0,0.0932059,0.368,-0.001044,0.000510951,0.000817223,0.353769
307,0,0.093211,0.372,-0.001044,0.00053015,0.000807442,0.354544
308,0,0.0932161,0.376,-0.001044,0.000570118,0.000796538,0.355229
309,0,0.0932211,0.38,-0.001044,0.000613298,0.000785845,0.355925
310,0,0.0932262,0.384,-0.001044,0.000649007,0.00077676,0.35669
311,0,0.0932313,0.388,-0.001044,0.000668994,0.000770324,0.357561
312,0,0.0932364,0.392,-0.001044,0.000667403,0.000767138,0.358558
313,0,0.0932414,0.396,-0.001044,0.000640155,0.000767495,0.359692
314,0,0.0932465,0.4,-0.001044,0.000583515,0.000771476,0.360974
315,0,0.0932516,0.404,-0.001044,0.00049619,0.000778981,0.362399
316,0,0.0932566,0.408,-0.001044,0.000378848,0.00078961,0.363952
